Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Contact Number of Internship Supervisor,Work Email of Internship Supervisor,Workplace Address,What is the project's research category?,Area of Discipline(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-modal Learning for 3D Scene Understanding,"3D scene understanding is crucial for intelligent machines to comprehend the physical world. Existing approaches primarily focus on single-modality sensing, which limits the accuracy in complex environments. To overcome this, multi-modal joint learning is essential. Different modalities, like RGB images and 3D point clouds, provide complementary information. E.g., RGB images offer rich appearance details, while 3D point clouds capture geometry and depth. The goal is to fuse the strengths of each modality to achieve comprehensive 3D scene understanding in diverse real-world settings.","Corresponding to the work scopes / description:
Outcome-1: Technique report summarizing the related techniques from simple survey (refer to scope-1)
Outcome-2: Experimental reports and demos for baseline results reproducing (refer to scope-2)
Outcome-3: A short report for the description of the potential technical problem and algorithm
improvement, as well as the improved experimental results if applicable (refer to scope-3)
Outcome-4: Final technical report and presentation slides (refer to scope-4)","1) Self-motivated to finish the work scope in time
2) Team work with other members in the team
3) Bi-weekly meeting to update the progress
4) Strictly follow the rule and policy of A*STAR","Keen to do advanced research works,
Familiar with deep learning and computer vision,
A bit programming skill in Python,
Self-motivated and willing to learn attitude.","The student is expected to do:
Scope-1: Simple Survey
Literature review of the related techniques, and select 1-2 papers (methods) which the student prefer to
reproduce the results.
Scope-2: Reproduce Results in Papers
Re-produce the results presented in the selected academic papers by using the benchmark dataset.
Scope-3: Algorithm Improvement
Explore potential enhancement to existing methods, and try to improve the results as compared to the
baseline results in scope-2.
Scope-4: Final Report & Presentation
Technical report and oral presentation to summarize the internship. We may extend the technical report to a journal or conference paper assume the improvement is significant.",I2R,MI,Yang Xulei,6597330869,yang_xulei@i2r.a-star.edu.sg,"Level 13, Connexis South Tower, 1 Fusionopolis Way, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimal Sensor Placements for Inverse ML Methods,"Inverse modelling is of relevance to many industries, including source/contaminant inference across diverse settings such as chemical dispersion in industrial plants, rotting food detection (ethylene gas dispersion) in Agritech, and airborne infectious disease transmission in urban scenarios. However, the interactions (including physics and transport processes) are complex while data (typically obtained via sensors) is scarce, and has uncertainty. Hence, this project will focus on developing ways to evaluate and select optimal sensor/data locations for the inverse problem of interest.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student will learn how neural networks work, and be able to implement such models.
3. Student will also learn basics of numerical simulation, including basic finite difference, and be able to implement said models.","1. Implement and run Python code for parametric simulation of different engineering systems.
2. Implement and run Python code for the NN-based inverse models for engineering systems and optimization of sensor placements.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics","1) Literature review
2) Numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on
simulated data from (2) and optimization of sensor placements via ML",IHPC,Fluid Dynamics,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,"Aerospace Engineering, Bioengineering, Biomedical Engineering, Chemical & BioMolecular Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical & Electronic Engineering, Electrical Engineering, Engineering Science, Environmental Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Mechanical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimization Landscape of Physics-Informed NNs,"This project will use state-of-the-art deep learning techniques to infer accurate solution of physics phenomena. We will also explore why the methods fail in some problems, and find ways to improve them via methods such as landscape visualization and training sample selection.","1. Student will acquire experience working with widely
used general purpose scripting languages such as
Python and Tensorflow.
2. Student should be able to explain how deep
learning models such as neural networks work, and be
able to write code to implement said techniques. This
should be transferable skills for any future data
science projects the student might be interested in.
3. The student will also learn the basic theory behind
the deep learning.","1. Literature review.
2. Develop and run Python code to train deep learning models for various physics problems.
3. Analyze, present, and discuss the outcome.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics","1. Literature review
2. Develop and train a deep learning model to predict the solution of physics phenomena described by ordinary differential equation or partial differential equation.
3. Explore the reason behind the model failure, and find ways to improve it via implementation of methods such as loss landscape visualization.",IHPC,Fluid Dynamics,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,Electrical & Electronic Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics-Informed ML for Time-Series Problems,"Many complex phenomena in nature of relevance to science and engineering (e.g. urban wind / dispersion) are governed by dynamical systems and seemingly simple differential equations. While useful, identifying the exact parameters that describe these systems from limited data is very difficult, even as simulating these models themselves can be very computationally expensive. Hence, we seek to investigate the effectiveness of physics-informed ML methods as a potentially less computationally expensive and more accurate route to modelling such systems.","1. Student will acquire experience working with widely used general purpose scripting languages such as
Python and Tensorflow.
2. Student will learn how neural networks work, and be able to implement such models building on prior published work.
3. Student will also learn basics of differential equations and dynamical system modelling.","1. Implement and run Python code for parametric simulation of different time-series problems.
2. Implement and run Python code for physics-informed ML models for some model systems.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and basic differential equations.","1) Literature review
2) Numerical simulation of different ODE/PDE-governed dynamical systems (e.g. fluid dynamics, weather prediction models)
3) Train a neural network for prediction of model dynamical systems (as in 2)",IHPC,Fluid Dynamics,Ooi Chin Chun,6596713374,ooicc@cfar.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,Aerospace Engineering;EEE ;Environmental Engineering;Electrical Engineering;Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics-Informed Neural Networks for Skin Patterns,Seemingly simple diffusion-reaction systems can give rise to many complex patterns in nature (e.g. skin coloration) and engineering (e.g. nanoparticle self-assembly). Inferring the boundary conditions that give rise to such patterns is very computationally expensive and difficult. We will use physics-informed neural networks as a faster route to infer the boundary conditions that give rise to specific instances of skin patterns.,"1. Student will acquire experience working with widely
used general purpose scripting languages such as
Python and Tensorflow.
2. Student should be able to explain how machine
learning models such as neural networks work, and be
able to write code to implement said techniques. This
should be transferable skills for any future projects the
student might be interested in.
3. The student will also learn to run basic finite difference code, which can be useful for many engineering applications.","1) Literature review
2) Processing and analysis of numerical simulation
results for different diffusion-reaction systems
3) Train a neural network to predict the boundary conditions giving rise to specific skin patterns based on provided images","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics.","1) Literature review
2) Processing and analysis of numerical simulation
results for different diffusion-reaction systems
3) Train a neural network to predict the boundary conditions giving rise to specific skin patterns based on provided images",IHPC,Fluid Dynamics,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,"Biomedical Engineering, Chemical Engineering, Computer Engineering, Electrical Engineering, Engineering Science, Material Science & Engineering, Mechanical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics-Informed NNs for Modelling Engineering Systems,"Seemingly simple differential equations can give rise to
many complex phenomena in nature of relevance to
engineering (e.g. chemical reactions / phase
separation). Inferring the exact parameters or reactions
that describe these systems from limited data
observations is very computationally expensive and
difficult, although such derived models will be
extremely useful. We will investigate the dual use of
physics-informed neural networks and symbolic
regression as a faster route to such discovery in a
model system.","1. Student will acquire experience working with widely
used general purpose scripting languages such as
Python and Tensorflow.
2. Student will learn how neural networks work, and be
able to implement such models.
3. Student will also learn basics of numerical
simulation, including basic finite difference, and be
able to implement said models.","1. Implement and run Python code for parametric
simulation of different engineering systems.
2. Implement and run Python code for the NN-based
inverse models for engineering systems.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and basic differential
equations.","1) Literature review
2) Numerical simulation of different ODE/PDE-governed
engineering systems (e.g. chemical reactions)
3) Train a neural network for inference of parameters
giving rise to specific reaction systems based on
simulated data from (2)",IHPC,Fluid Dynamics,Ooi Chin Chun,+6596713374,ooicc@ihpc.a-star.edu.sg,"16 Connexis North, Fusionopolis",Computing & Information Sciences,"Artificial Intelligence, Computing Engineering, Information Systems, Multimedia Information Retrieval",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy Preserving Machine Learning,"This work involves R&D in the domain of privacy-preserving computing. Since the introduction of the Personal Data Protection Act (PDPA) in Singapore, several sectors were severely impacted in how to extract value from decentralised data. Our approach leverages a combination of state of the art privacy preserving technologies and safely enable to extract the insights. The work is extended to embedding AI/ML techniques to maximise trained models’ precision, accuracy and runtime.","This work involves research and development in the domain of privacy-preserving computing. At the end of the attachment, the student will eventually develop excellent knowledge in this area. And also familiarity in technical/scientific writing and publication.",Obtain first-hand research experience and gain exposure to industry-relevant and translational research work,"We are looking for candidates with the following key soft attributes:
Ability to learn
Willingness to learn
Strong interest in privacy preserving computation domain","•	Develop a new method or improve on existing methods to better generalize the Privacy Preserving Population Genetics Studies.
•	Document the work and submit the codes with README / comments / proper indentation / meaningful variable names.
•	Provide a presentation/report for the purpose of the internship.",I2R,Cyber Security,Khin Mi Mi Aung,+6593399345,mmaung@i2r.a-star.edu.sg,"#09-39, Connexis North S 138632",Computing & Information Sciences,"Algorithms and Theory, Artificial Intelligence, Computer Security, Computing Engineering, Database Systems, Digital Innovation, Information Security, Marketing Analytics, Multimedia Information Retrieval, Networking and Distributed Systems, Parallel Computing, Programming Languages, Software Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy Protection for Generative AI and LLMs,"Generative AI and Large Language Models (LLMs, such as ChatGPT) are becoming very hot topics recently due to their success in various application tasks and largely improved user experiences. However, such generative large models tend to remember the details of the data that used to train them, and this could pose severe privacy issues when the training data contains private information. This project is therefore to research on the technologies such as data masking, anonymization, and encryption, to make sure generative AI models will not remember or disclose private information unintendingly.","1. Understanding of privacy risks associated with generative AI models, such as data privacy, identity protection, and potential misuse of generated content.
2. Knowledge about various privacy protection techniques specific to generative AI. 
3. Hands-on experience in applying privacy protection techniques to generative AI models, including implementing privacy-enhancing algorithms, evaluating their effectiveness, and fine-tuning the models to strike a balance between privacy and utility.","1. Research and Analysis: conducting research on privacy risks associated with generative AI models. This involves studying existing literature, understanding state-of-the-art techniques, and identifying potential vulnerabilities or privacy concerns.
2. Designing Privacy Protection Strategies: designing and developing privacy protection strategies specific to generative AI. 
3. Implementation and Experimentation: implementing and integrating privacy protection techniques into generative AI models and evaluate the effectiveness.","1. Experience with machine learning project such as model training and inference.
2. Basic understanding and experience with generative AI models such as ChatGPT.
3. Programming experiences with either python or C++ language.","As a student working on the Privacy Protection for Generative AI project, your role will be to understand and address privacy concerns related to AI models that generate content. You will be responsible for conducting research, implementing privacy protection techniques, and evaluating their effectiveness.
Key Responsibilities:
1. understanding existing research and identifying any privacy concerns with generative AI models.
2. exploring methods like data redaction, masking, and differential privacy to protect data privacy for generative AI models.
3. Implement the privacy protection techniques and evaluate its effectiveness and impact on the quality of the generated content.",I2R,Cybersecurity,Jin Chao,6596507391,jin_chao@i2r.a-star.edu.sg,"North Tower #10, 1 Fusionopolis Way, Singapore 138632",Computing & Information Sciences,Applied Mathematics;Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiomics of paediatric tumours,"The plan is to embark on a project to do in-depth radiomics analysis of pediatric brain tumors and correlate against tumor genetic status, patient’s response to treatment, and eventual outcome.","1. AI skills 
2. Healthcare Informatics, data processing 
3. Enhanced software skills","The student will develop, implement, test, and validate the algorithm. 
Prepares the documentation and maintains version control of the algorithm. 
 Adheres to the guidelines, rules, and regulations of A*STAR and BII","1. Programming Skills -- Python, Tensorflow, R, Linux, shell programming 
2. Knowledge of ML and DL algorithms 
3. Biomedical Imaging Knowledge
4. Statistics, Pattern recognition","1. Development of an algorithm for tumor analysis model using CT images 
2. Development of an algorithm for tumor analysis model using MR images",BII,CELLULAR IMAGE INFORMATICS DIVISION,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"#07-01 Matrix, 30 Biopolis Street, Singapore 138671",Engineering & Technology,"Biomedical Engineering, Computer Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real-time bioinformatics tool for efficient sequencing,"The focus of our project is to develop a robust, real-time analysis tool that can efficiently process and interpret genomic data as it is produced from Nanopore hand-held sequencer.","1, They can gain hands-on experience in data analysis, computational modelling, and statistical techniques relevant to biological data.
2. They can develop proficiency in analyzing large-scale biological datasets and interpret the results and draw meaningful conclusions from complex biological data
3. They can enhance their coding skills in Python/R and develop algorithms.
4. They learn how to navigate various bioinformatics databases, resources, and tools.
5. Interns have opportunities to present their research findings.","1.	Collaborate with the project lead and data scientists to understand the goals of the algorithm development.
2.	Contribute to the development of efficient bioinformatics algorithms for real-time data analysis, including quality control, base calling, alignment, variant calling, and annotation.
3.	Test the developed algorithms on a subset of data and document the results.
4.	Assist in optimizing the algorithms for efficiency and accuracy.
5.	Assist in the development of user-friendly software tools that implement the project's algorithms.","1.	Programming skill in Python, R, Java, or C++. Knowledge of scripting in a Unix/Linux environment will also be beneficial.
2.	Basic knowledge of algorithm design and optimization
3.	Some experience with software development, especially developing user-friendly interfaces and tools
4.	Fundamental knowledge of next-generation sequencing (NGS) data","Algorithm Development: Design and implement real-time algorithms for quality control, base calling, alignment, variant calling, and annotation. These algorithms need to be highly efficient to cope with the speed of NGS technologies.
Tool Development: Develop a user-friendly, plug-in algorithm tool that implements these real-time algorithms. The tool should provide an interactive interface for users to monitor and control the sequencing and analysis process.",SIgN,Computational Immunology Platform,Lau Mai Chan,6592348170,lau_mai_chan@bii.a-star.edu.sg,"8A Biomedical Grove, Immunos, Level 5, Singapore 138665",Computing & Information Sciences,Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL Learning-Based Soft-Gripper Grasping and Control,"This project investigates the development of learning-based 
soft-gripper grasping and control, especially for soft objects using deep reinforcement learning or evolutionary algorithms and generative deep learning models. The project aims to learn grasping and manipulation skills for soft objects like fruits or leafy vegetables for indoor farming applications.","Learn basics and fundamental about robotics, manipulation, and state of art reinforcement learning algorithms","The roles and responsibilities of a student include 
-implementation of deep reinforcement learning (DRL) and generative deep learning algorithms such as GANs, VAEs etc
-conducting simulation at pybullet, isaac or Unity and the real-world environment with KUKA or Emika Panda robots,","Programming skills , Python etc.","-Literature review
-Setup simulation environment and real-world environment
-Implement RL algorithms",I2R,RAs,ACAR Cihan,+6583426107,acar_cihan@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis, Singapore 138632",Engineering & Technology,"Engineering Principles, Computer Engineering, Electrical & Electronic Engineering, Mechanical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA structure prediction,This project is part of a bigger project which aims to develop an RNA structure prediction AI model inspired by AlphaFold. The student will be involved in data preparation and developing a module.,"1. Work with Pythorch
2. intermediate level of practical AI
3. Knowledge of working with real data
4. Experience working in a research environment","1.  Understanding RNA structure data (atoms)
2.  Data preparation and cleaning
3.  Development of own module
4. Testing and reporting","1. Computer science student
2. Knowledge of Python
3. Basic knowledge of machine learning","Student will be involved in all parts of the project activities, including data preparation, developing its own module in PyTorch, working with the GitHub version system, testing and reporting",GIS,Ai in Genomics,MIle Sikic,6582434173,mile_sikic@gis.a-star.edu.sg,"60 Biopolis Street, #02-01 Genome, Singapore, 138672",Computing & Information Sciences,Bioinformatics;Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Learning for 3D Scene Understanding,"3D scene understanding is crucial for intelligent machines to comprehend and navigate real-world environments. While deep learning models have advanced static scene understanding, robustly handling uncertain and non-stationary 3D scenes remains a challenge. Extracting dynamic environment information for decision-making and planning is vital. Two key considerations are out-of-distribution learning, addressing domain shift issues, and incremental learning, overcoming catastrophic forgetting. This project aims to solve these imperative problems in dynamic real-world environments.","Corresponding to the job description for student:
Outcome-1: Technique report summarizing the related techniques from simple survey of robust learning for 3D scene understanding. 
Outcome-2: Experimental reports for baseline reproducing of 1-2 selected SOTA methods. 
Outcome-3: A short report of the potential technical problem and algorithm improvement, as well as the improved experimental results if applicable
Outcome-4: Final technical report and presentation slides","1) Self-motivated to finish the work scope in time
2) Teamwork with other members in the team
3) Bi-weekly meeting to update the progress
4) Strictly follow the rule and policy of A*STAR","Keen to do advanced research works,
Familiar with deep learning and computer vision,
A bit programming skill in Python,
Self-motivated and willing to learn attitudes.","The student is expected to do:
Scope-1: Simple Survey
Literature review of the related techniques, and select 1-2 papers (methods) which the student prefers to
reproduce the results.
Scope-2: Reproduce Results in Papers
Re-produce the results presented in the selected academic papers by using the benchmark dataset.
Scope-3: Algorithm Improvement
Explore potential enhancement to existing methods, and try to improve the results as compared to the
baseline results in scope-2.
Scope-4: Final Report & Presentation
Technical report and oral presentation to summarize the internship. We may extend the technical report to a journal or conference paper assume the improvement is significant.",I2R,MI,Yang Xulei,6597330869,yang_xulei@i2r.a-star.edu.sg,"Level 13, Connexis South Tower, 1 Fusionopolis Way, Singapore 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Unsupervised Learning from Multimodal Data,"This project aims to develop AI algorithms that can utilise the intrinsic structures in multimodal data (e.g. videos with speech or accompanying text) in order to learn robustly in an unsupervised manner, so that the amount of manually-labelled data required can be reduced significantly.","1) Potential opportunity to publish in top AI conference
2) Gain experience with computer vision and/or natural language processing
3) Gain experience with multimodal/cross-modal techniques
4) Gain experience with unsupervised learning","1) Literature review
2) Get off-the-shelf algorithms working (as baselines)
3) Development and testing of new algorithms","1) Strong programming background
2) Prior knowledge or experience in computer vision and/or natural language processing
3) [Preferred] Strong interest in seeing this project through to publish a paper, e.g. to support PhD application","The student(s) will be responsible for project implementation, from conducting a literature review, to curating a suitable dataset, and then to implementing new algorithms and baseline comparisons. If the results are encouraging, the student(s) are strongly encouraged to continue and prepare the work for submission to top AI conferences as first author(s).",I2R,Visual Intelligence,Tan Yin Chet Cheston,+6586504410,cheston-tan@i2r.a-star.edu.sg,"1 Fusionopolis Way, Connexis South, S(138632)",Computing & Information Sciences,"Artificial Intelligence, Multimedia Information Retrieval, Computer Engineering, Electrical & Electronic Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robustness of deep learning models,"While deep neural network models have demonstrated remarkable ability in representation learning, their performance relies heavily on the assumption that training and test data distributions are the same. These models are at risk of performance degradation when there is distribution shift, which negatively affects the reliability of deep models for deployment in real-world applications. This project focuses on evaluating and developing methodology for robustness of deep learning models against adversarial attacks and natural distribution shifts.",Understanding and experience of AI research and publication process; Skills in presenting and communicating scientific findings,Implement and develop algorithms; Analyze experimental results; Prepare manuscript for publication at top AI conferences, ,"Implementing and evaluating existing methods; Developing, implementing and evaluating new algorithms; Communicate research findings",I2R,Machine Intellection,Zhang Wenyu,6587606068,zhang_wenyu@i2r.a-star.edu.sg,"1 Fusionopolis Way, Connexis North, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Bio-learning algorithms to ImageNet,"Brain inspired algorithms like Feedback Alignment and Hebbian learning have been shown to learn very fast. They can learn the same tasks in far lesser epochs compared to traditional Backprop. This efficiency in learning is crucial in many applications like resource constrained environments. In this project we will scale the capabilities of Bio-algorithms to the popular but tough ImageNet dataset consisting of more than 1.2million images. Specifically, we will carry out experiments using Bio-algorithms to achieve similar accuracy as Backprop but in fewer epochs or using less data or both.","1.	The student will learn about deep learning and training neural networks in depth
2.	The student will also learn about the areas of brain inspired algorithms and ImageNet and develop an appreciation for how wide the area of Deep learning is
3.	The student will develop solid coding skills, familiarity with ML frameworks like PyTorch and ability to independently run and deploy code on GPU servers
4.	The student will also understand in depth about the process of doing research - hypothesis formulation, conducting experiments, verify findings and writing a research paper
5.	The student will learn valuable and marketable skills for future jobs or research attachments","1.	Read relevant research papers to understand the areas of Brain inspired learning
2.	Build on publicly available and internal I2R codebases to implement bio-learning for FA, Hebbian and other bio-learning algorithms.
3.	Tabulate results from experiments and present findings in weekly meetings
4.	Help in putting the results together and writing a research paper to be submitted to a Machine Learning conference","1.	Student should be motivated and very interested to learn about Deep Learning and Neural networks in depth
2.	Student should have some experience with implementing and training neural networks using Python.",See Roles and Responsibilities above,I2R,MI,Manas Gupta,+6598482123,manas_gupta@i2r.a-star.edu.sg,"Connexis North, 1 Fusionopolis Way, S138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secure Distributed and Federated Machine Learning,"Federated machine learning among multiple data holders, which utilizes all their data for joint model training and inference, but can ensure the data privacy for each data holder at the same time. In particular, the project will tackle multiple problems like security leakage, accuracy loss, and performance degradation in the federated learning systems.","Knows the state-of-the-art techniques on federated learning.
Knows the advantages and problems of federated learning.
Knows how to build a federated learning system for a practical application.","Learn the necessary background knowledge about federated learning.
Understand the problems that needs to be handled for federated learning.
Doing development on a federated learning system prototype and optimize its performance and security features.","Basic knowledge about AI and data science;
Programming skills on either python or C++.","Learn the concept and application scenarios of the distributed and federated machine learning techniques;
Develop a practical federated learning system for certain application tasks;
Optimise the performance and security features of the federated learning system.",I2R,Cybersecurity,Jin Chao,+6596507391,jin_chao@i2r.a-star.edu.sg,"Connexis North Tower #10, 1 Fusionopolis Way, Singapore 138632",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart wearable sensors to monitor wound healing & infection,"Wearable sensors that enable close monitoring of wound related biomarkers to track wound healing process are essential to the realization of preventive care and personalized medicine. In this project, a hydrogel-supported sensor array that is able to detect a selected set of wound infection related biomarkers will be developed. The strategy is to incorporate specific colorimetric sensors within an antimicrobial hydrogel matrix to develop an 3D scaffold that both enhances wound healing and also tracks wound status for early detection and timely treatment of wound infection.","The student will learn about design and enzyme based biosensors, synthesis and characterization of nanoparticles, development of hydrogels, and also familiarize with data analysis, image processing, and electrochemistry skills. The student will also learn to apply the research software such as endnote, origin, image J etc as well as improve on their presentation & report writing skills. The overall aim to let the student to familiarize with the entire sensor development process from idea conceptualization to sensor optimization to prototype building.","The student will be involved in synthesis of nanostructures and hydrogels, sensing layer fabrication, sensor optimization and validation, which will be trained by the supervisor. The student will also be responsible for data analysis such as calibration, specificity evaluation, image processing, image analysis and statistical analysis, which will also be taught by the supervisor.",,,IMRE,Soft materials,Zheng Xinting,+6583723842,zhengxt@imre.a-star.edu.sg,"2 Fusionopolis Way, #08-03, Innovis, Singapore 138634",Physical Sciences,"Chemistry, Chemical & BioMolecular Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Modals for Transfer Learning in Medical Imaging,"This project aims to develop super pre-trained models for general medical image analysis based on large unlabelled and small labeled images. Focus on exploring three related topics: 1) benchmark dataset - consolidate multiple medical image sets publicly available, to form the benchmark dataset. 2) development platform - enhance the representation learning through self-supervised mechanisms by leveraging up the unlabelled data. 3) performance verification - conduct the performance comparisons between models trained from scratch and models fine-funed by pre-trained models.","1) baseline benchmark dataset with at least 100K images
2) a summary table of performance comparisons 
3) a technical report write-up, targeting at publication (optional)","1) self-motivated, interested in AI
2) regular discussion/meeting with supervisor 
3) tend to advanced research work","1) basic coding skills using python
2) basic knowledge on deep learning
3) familiar with pytorch and tensorflow","The students will be involved in one or more of the following scopes
1) collection of public available medical images to form benchmark dataset
2) run the self-supervised training platform to come out pre-trained models
3) conduct performance comparisons between various deep learning models",I2R,Machine Intellection,Yang Xulei,+6597330869,yang_xulei@i2r.a-star.edu.sg,"1 Fusionopolis Way, Level-13, Connexis, South Tower, Singapore 138632",Computing & Information Sciences,"Algorithms and Theory, Artificial Intelligence, Computing Engineering, Multimedia Information Retrieval, Programming Languages, Software Engineering, Electrical & Electronic Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthetic Data Generation for Cancer Omics Analyses,"Artificial intelligence (AI) is opening up new avenues for biomedical research. However, the success of such models depends on the availability of high-quality data, such as in rare diseases or when data is limited due to ethical considerations. Omics data are often high-dimensional, heterogeneous, noisy, and incomplete. The use of synthetic data generation techniques coupled with AI algorithms has shown great potential in tackling this challenge. The research will explore the potential of using synthetic data generation techniques to enhance the analysis of omics data in cancer disease.","1. Learn to do research on real scientific problems
2. Learn the principles and usage of non-linear dynamic models to understand biological bifurcation
3. Gain valuable work experience applying fundamental knowledge","1. Team player within scientific lab
2. Collaborate with other lab members
3. Perform work independently and diligently","•	Undergraduate in Mathematics, Computer Science, Computer Engineering, Data Analytics, Statistics, Bioinformatics
•	Good programming skills in Matlab, Python, R or C++
•	Good interpersonal skills and creativity
•	Background in biology or molecular biology is a plus","1. Literature survey on current synthetic data generators. 
2. Apply and compare the existing methods. 
3. Test methods/models on cancer dataset. 
4. Identify challenges and propose improvements. 5. Report writing",BII,Computational Biology & Omics,Kumar Selvarajoo,6596528640,kumar_selvarajoo@bii.a-star.edu.sg,"30 Biopolis St, Matrix #07-01, Singapore 138671",Computing & Information Sciences,Applied Mathematics;Bioinformatics;Computer Science;Computer & Software Engineering;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towards Realistic Deep Learning for 3D Vision,"The rapidly growing ubiquity of 3D sensors over the last few years has created strong demands for technology to understand 3D data. Deep learning with 3D has become vital for a wide range of emerging applications such as autonomous driving, robot perception, VR/AR, and 3D visual inspection. However, 3D deep learning currently faces many technical challenges due to the unique characteristics of 3D data. This project deals with  heterogeneous 3D deep learning and make 3D deep learning more realistic for real-world applications.","The student would be trained in the field of 3D vision, especially on the Multi-modal Learning for 3D Scene Understanding, which involves in one of three subtasks: 1) 3D reconstruction from hybrid 2D & 3D data 2) 2D-assisted 3D representation learning 3) Transfer learning with heterogeneous 3D data.","Develop 3D vision algorithms;
Conduct experiments and test;
Summarize and report",Deep learning; Python Coding; Familiar with linux system.,Develop algorithm for 3D vision algorithms; Train and test deep learning models; Technical report and academic paper writing;,I2R,Machine Intellection,Cheng Jun,6581237664,cheng_jun@i2r.a-star.edu.sg,"1 Fusionopolis Way, 21-1, 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
